,n_nodes,n_nodes,n_nodes,n_nodes,n_edges,n_edges,n_edges,n_edges,seed,seed,seed,seed,sparse_rw_time,sparse_rw_time,sparse_rw_time,sparse_rw_time,dense_rw_time,dense_rw_time,dense_rw_time,dense_rw_time,sparse_size_mb,sparse_size_mb,sparse_size_mb,sparse_size_mb,dense_size_mb,dense_size_mb,dense_size_mb,dense_size_mb,sparse_dense_equiv_mb,sparse_dense_equiv_mb,sparse_dense_equiv_mb,sparse_dense_equiv_mb,compression_ratio,compression_ratio,compression_ratio,compression_ratio,time_speedup,time_speedup,time_speedup,time_speedup,sparse_file_size_mb,sparse_file_size_mb,sparse_file_size_mb,sparse_file_size_mb,dense_file_size_mb,dense_file_size_mb,dense_file_size_mb,dense_file_size_mb,sparse_total_nnz,sparse_total_nnz,sparse_total_nnz,sparse_total_nnz,sparse_avg_nnz_per_matrix,sparse_avg_nnz_per_matrix,sparse_avg_nnz_per_matrix,sparse_avg_nnz_per_matrix,graph_sparsity,graph_sparsity,graph_sparsity,graph_sparsity,step_matrix_sparsity,step_matrix_sparsity,step_matrix_sparsity,step_matrix_sparsity
,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max
n_nodes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,32.0,0.0,32,32,32.0,0.0,32,32,44.0,1.5811,42,46,0.151,0.0215,0.1371,0.1885,0.1079,0.0037,0.1037,0.1138,0.0044,0.0,0.0044,0.0044,0.0234,0.0,0.0234,0.0234,0.0234,0.0,0.0234,0.0234,5.3333,0.0,5.3333,5.3333,0.7249,0.0961,0.575,0.8298,0.0044,0.0,0.0044,0.0044,0.0237,0.0,0.0237,0.0237,288.0,0.0,288,288,96.0,0.0,96.0,96.0,0.0625,0.0,0.0625,0.0625,0.0938,0.0,0.0938,0.0938
64,64.0,0.0,64,64,64.0,0.0,64,64,44.0,1.5811,42,46,0.1683,0.0231,0.1513,0.2076,0.1958,0.0082,0.1888,0.2096,0.0088,0.0,0.0088,0.0088,0.0938,0.0,0.0938,0.0938,0.0938,0.0,0.0938,0.0938,10.6667,0.0,10.6667,10.6667,1.1752,0.1111,1.0095,1.2851,0.008,0.0,0.008,0.008,0.094,0.0,0.094,0.094,576.0,0.0,576,576,192.0,0.0,192.0,192.0,0.0312,0.0,0.0312,0.0312,0.0469,0.0,0.0469,0.0469
128,128.0,0.0,128,128,128.0,0.0,128,128,44.0,1.5811,42,46,0.2021,0.0275,0.1824,0.2496,0.4129,0.0065,0.4074,0.4233,0.0176,0.0,0.0176,0.0176,0.375,0.0,0.375,0.375,0.375,0.0,0.375,0.375,21.3333,0.0,21.3333,21.3333,2.0714,0.257,1.6323,2.2373,0.0154,0.0,0.0154,0.0154,0.3753,0.0,0.3753,0.3753,1152.0,0.0,1152,1152,384.0,0.0,384.0,384.0,0.0156,0.0,0.0156,0.0156,0.0234,0.0,0.0234,0.0234
256,256.0,0.0,256,256,256.0,0.0,256,256,44.0,1.5811,42,46,0.2569,0.022,0.2401,0.2948,0.8529,0.0054,0.849,0.8613,0.0352,0.0,0.0352,0.0352,1.5,0.0,1.5,1.5,1.5,0.0,1.5,1.5,42.6667,0.0,42.6667,42.6667,3.3373,0.2493,2.9214,3.5623,0.03,0.0,0.03,0.03,1.5003,0.0,1.5003,1.5003,2304.0,0.0,2304,2304,768.0,0.0,768.0,768.0,0.0078,0.0,0.0078,0.0078,0.0117,0.0,0.0117,0.0117
512,512.0,0.0,512,512,512.0,0.0,512,512,44.0,1.5811,42,46,0.356,0.0297,0.3327,0.4045,1.8062,0.0308,1.7622,1.839,0.0703,0.0,0.0703,0.0703,6.0,0.0,6.0,6.0,6.0,0.0,6.0,6.0,85.3333,0.0,85.3333,85.3333,5.106,0.4795,4.3564,5.5276,0.0593,0.0,0.0593,0.0593,6.0003,0.0,6.0003,6.0003,4608.0,0.0,4608,4608,1536.0,0.0,1536.0,1536.0,0.0039,0.0,0.0039,0.0039,0.0059,0.0,0.0059,0.0059
1024,1024.0,0.0,1024,1024,1024.0,0.0,1024,1024,44.0,1.5811,42,46,0.54,0.0245,0.5214,0.5828,4.51,0.1348,4.2727,4.5925,0.1406,0.0,0.1406,0.1406,24.0,0.0,24.0,24.0,24.0,0.0,24.0,24.0,170.6667,0.0,170.6667,170.6667,8.3722,0.5855,7.3314,8.7432,0.1179,0.0,0.1179,0.1179,24.0003,0.0,24.0003,24.0003,9216.0,0.0,9216,9216,3072.0,0.0,3072.0,3072.0,0.002,0.0,0.002,0.002,0.0029,0.0,0.0029,0.0029
2048,2048.0,0.0,2048,2048,2048.0,0.0,2048,2048,44.0,1.5811,42,46,0.9408,0.0285,0.9156,0.9839,,,,,0.2812,0.0,0.2812,0.2812,,,,,96.0,0.0,96.0,96.0,,,,,,,,,0.2351,0.0,0.2351,0.2351,,,,,18431.6,0.5477,18431,18432,6143.8667,0.1826,6143.6667,6144.0,0.001,0.0,0.001,0.001,0.0015,0.0,0.0015,0.0015
4096,4096.0,0.0,4096,4096,4096.0,0.0,4096,4096,44.0,1.5811,42,46,1.7409,0.0217,1.7153,1.7726,,,,,0.5625,0.0,0.5625,0.5625,,,,,384.0,0.0,384.0,384.0,,,,,,,,,0.4695,0.0,0.4695,0.4695,,,,,36863.0,1.0,36862,36864,12287.6667,0.3333,12287.3333,12288.0,0.0005,0.0,0.0005,0.0005,0.0007,0.0,0.0007,0.0007
8192,8192.0,0.0,8192,8192,8192.0,0.0,8192,8192,44.0,1.5811,42,46,3.4258,0.0455,3.3741,3.477,,,,,1.125,0.0,1.125,1.125,,,,,1536.0,0.0,1536.0,1536.0,,,,,,,,,0.9383,0.0,0.9382,0.9383,,,,,73725.8,1.0954,73725,73727,24575.2667,0.3651,24575.0,24575.6667,0.0002,0.0,0.0002,0.0002,0.0004,0.0,0.0004,0.0004
16384,16384.0,0.0,16384,16384,16384.0,0.0,16384,16384,44.0,1.5811,42,46,6.7567,0.022,6.7208,6.7769,,,,,2.2499,0.0,2.2499,2.25,,,,,6144.0,0.0,6144.0,6144.0,,,,,,,,,1.8758,0.0,1.8758,1.8758,,,,,147452.6,0.8944,147452,147454,49150.8667,0.2981,49150.6667,49151.3333,0.0001,0.0,0.0001,0.0001,0.0002,0.0,0.0002,0.0002
