seed,model,wpn,lml,mse
101,Diffusion,,24.88112030130715,0.05147646943175835
101,GRF,512.0,26.31853872978462,0.04004465537779348
101,GRF-ablation,512.0,-84.58689084441573,0.03728859256309275
101,GRF,1024.0,24.794213777406966,0.04585382252556337
101,GRF-ablation,1024.0,19.451184249346497,0.04687433865368894
101,GRF,2048.0,28.686205708974597,0.043232226444349854
101,GRF-ablation,2048.0,-80.99580678333517,0.037281136694691006
101,GRF,4096.0,30.049558541716607,0.04953211677984883
101,GRF-ablation,4096.0,-79.27840696905079,0.03728632603237979
101,GRF,8192.0,27.79730698423819,0.05218508146446163
101,GRF-ablation,8192.0,20.50232075170277,0.050217138456323356
