seed,model,wpn,lml,mse_obs,rmse_obs,nlpd_obs,learned_noise_var,n_train,n_test
101,Diffusion,,-279.13549981978366,1.067630364879156,1.0332620020494105,1.9514928646164014,0.21008111331752308,270,630
101,GRF(wpn=1),1.0,-338.37532380413484,0.7441888756979489,0.8626638254256109,1.320708470063909,0.17722348661237855,270,630
101,GRF-ablation(wpn=1),1.0,-344.72257106094855,0.7439256827584934,0.8625112652936734,1.2889885533872478,0.2432429790931308,270,630
101,GRF(wpn=10),10.0,-335.6784430761322,0.7386295073449581,0.8594355748658291,1.3295905780120563,0.15746863505855466,270,630
101,GRF-ablation(wpn=10),10.0,-302.74392665516984,0.873219238308576,0.9344620047431441,1.432834188266348,0.23934804139979882,270,630
101,GRF(wpn=100),100.0,-308.02121297774954,0.8539321840686982,0.9240845113238823,1.4698331088636465,0.11918439215814491,270,630
101,GRF-ablation(wpn=100),100.0,-304.38162246926703,0.9556232726306454,0.9775598562904705,1.5014961831730302,0.2406117198420841,270,630
101,GRF(wpn=1000),1000.0,-289.3526240035335,0.9887840040465625,0.9943761883947958,1.7482624131231674,0.12181839426554202,270,630
101,GRF-ablation(wpn=1000),1000.0,-289.7111690048398,1.007293275302382,1.0036400128045821,1.6560218981722394,0.23346904738450383,270,630
