N,repeat,cond
1,0,1.0
1,1,1.0
1,2,1.0
1,3,1.0
1,4,1.0
1,5,1.0
1,6,1.0
1,7,1.0
1,8,1.0
1,9,1.0
2,0,7.903973
2,1,8.475017
2,2,5.1621914
2,3,1.048759
2,4,85.08392
2,5,1.3655646
2,6,31.149534
2,7,29.25401
2,8,4.641354
2,9,25.53822
4,0,8.742395
4,1,1.3910457
4,2,6.0132036
4,3,4.062406
4,4,10.014708
4,5,1.0
4,6,59.279083
4,7,20.312094
4,8,6.0866094
4,9,23.806362
8,0,7.729088
8,1,1.9184448
8,2,6.226707
8,3,5.9267225
8,4,143.96106
8,5,56.901684
8,6,41.524113
8,7,118.56336
8,8,30.812399
8,9,22.097921
16,0,60.781403
16,1,14.540932
16,2,11.163803
16,3,4.859163
16,4,929.7657
16,5,10.736407
16,6,63.58684
16,7,24.907652
16,8,23.754251
16,9,78.230934
32,0,272.02814
32,1,4.9483747
32,2,16.839514
32,3,36.454548
32,4,483.13834
32,5,142.56812
32,6,45.08442
32,7,48.18231
32,8,22.0347
32,9,25.229053
64,0,83.18132
64,1,15.681236
64,2,14.802056
64,3,97.24804
64,4,1109.9805
64,5,129.4496
64,6,35.114265
64,7,183.42198
64,8,90.383484
64,9,32.32752
128,0,93.22923
128,1,15.24703
128,2,18.573763
128,3,88.20406
128,4,514.69525
128,5,467.0454
128,6,70.1861
128,7,63.05452
128,8,271.19193
128,9,37.823624
256,0,740.68304
256,1,16.523537
256,2,21.816229
256,3,67.69711
256,4,4008.1987
256,5,697.0056
256,6,220.82115
256,7,231.3668
256,8,1055.5796
256,9,40.063084
512,0,280.73114
512,1,29.213749
512,2,25.274809
512,3,111.43532
512,4,23209.785
512,5,713.4088
512,6,97.13537
512,7,143.46123
512,8,792.90216
512,9,40.659252
1024,0,4260.134
1024,1,24.103662
1024,2,2782.8174
1024,3,558.98456
1024,4,8032.7417
1024,5,710.4384
1024,6,448.52908
1024,7,1728.8406
1024,8,9412.497
1024,9,42.651035
