,,best_value,best_value,best_value,regret,regret,regret,iteration
,,mean,std,max,mean,std,min,count
dataset,algorithm,,,,,,,
1000hpa,bfs,0.9694,0.4337,1.5567,0.7479,0.4337,0.1606,1000
1000hpa,dfs,0.9832,0.4216,1.5567,0.7341,0.4216,0.1606,1000
1000hpa,random_search,1.4188,0.2072,1.6724,0.2984,0.2072,0.0449,1000
1000hpa,sparse_grf,1.2557,0.3089,1.6835,0.4616,0.3089,0.0337,1000
500hpa,bfs,1.1016,0.1584,1.3235,0.4286,0.1584,0.2067,1000
500hpa,dfs,1.0984,0.1594,1.3198,0.4318,0.1594,0.2104,1000
500hpa,random_search,1.2175,0.0882,1.3254,0.3127,0.0882,0.2048,1000
500hpa,sparse_grf,1.1593,0.1683,1.327,0.3709,0.1683,0.2031,1000
800hpa,bfs,1.0472,0.4555,1.5996,0.7072,0.4555,0.1549,1000
800hpa,dfs,1.0449,0.4579,1.5996,0.7095,0.4579,0.1549,1000
800hpa,random_search,1.4464,0.184,1.6447,0.308,0.184,0.1097,1000
800hpa,sparse_grf,1.3003,0.3257,1.6507,0.4541,0.3257,0.1037,1000
